S_Factor,Est_Count_PyHash,Est_Count_PRHF,Exact_Count
1.0,15992,15821, 16093
1.1,15996,16008, 16093
1.2,16006,16026, 16093
1.3,16013,16005, 16093
1.4,16030,16028, 16093
1.5,16041,15866, 16093
1.6,16043,16030, 16093
1.7,16026,16044, 16093
1.8,16045,16045, 16093
1.9,16040,16055, 16093
2.0,16049,15964, 16093
2.1,16038,16051, 16093
2.2,16041,16058, 16093
2.3,16071,16038, 16093
2.4,16048,16070, 16093
2.5,16047,16004, 16093
2.6,16062,16062, 16093
2.7,16064,16070, 16093
2.8,16054,16053, 16093
2.9,16061,16060, 16093
3.0,16064,15982, 16093
3.1,16060,16066, 16093
3.2,16068,16053, 16093
3.3,16057,16061, 16093
3.4,16057,16064, 16093
3.5,16064,16017, 16093
3.6,16064,16070, 16093
3.7,16054,16066, 16093
3.8,16067,16074, 16093
3.9,16065,16071, 16093
4.0,16074,16027, 16093
4.1,16070,16072, 16093
4.2,16070,16070, 16093
4.3,16064,16075, 16093
4.4,16066,16083, 16093
4.5,16073,15992, 16093
4.6,16068,16073, 16093
4.7,16070,16073, 16093
4.8,16073,16070, 16093
4.9,16072,16069, 16093
5.0,16066,16055, 16093
5.1,16081,16070, 16093
5.2,16077,16076, 16093
5.3,16077,16066, 16093
5.4,16075,16080, 16093
5.5,16074,16037, 16093
5.6,16076,16081, 16093
5.7,16084,16074, 16093
5.8,16079,16073, 16093
5.9,16087,16075, 16093
6.0,16082,16043, 16093
6.1,16074,16079, 16093
6.2,16078,16082, 16093
6.3,16068,16075, 16093
6.4,16084,16071, 16093
6.5,16075,16038, 16093
6.6,16081,16078, 16093
6.7,16082,16081, 16093
6.8,16078,16068, 16093
6.9,16079,16079, 16093
7.0,16078,16052, 16093
7.1,16076,16082, 16093
7.2,16080,16086, 16093
7.3,16083,16077, 16093
7.4,16071,16081, 16093
7.5,16080,16056, 16093
7.6,16086,16079, 16093
7.7,16080,16083, 16093
7.8,16082,16083, 16093
7.9,16084,16083, 16093
8.0,16081,16064, 16093
8.1,16086,16079, 16093
8.2,16082,16082, 16093
8.3,16083,16075, 16093
8.4,16083,16084, 16093
8.5,16083,15936, 16093
8.6,16088,16079, 16093
8.7,16082,16084, 16093
8.8,16083,16080, 16093
8.9,16083,16079, 16093
9.0,16082,16047, 16093
9.1,16082,16081, 16093
9.2,16082,16087, 16093
9.3,16082,16084, 16093
9.4,16083,16083, 16093
9.5,16082,16076, 16093
9.6,16084,16084, 16093
9.7,16086,16088, 16093
9.8,16080,16081, 16093
9.9,16079,16086, 16093
10.0,16083,16072, 16093
