S_Factor,Est_Count_PyHash,Est_Count_PRHF,Exact_Count
1.0,14164,14143, 14392
1.1,14178,14147, 14392
1.2,14188,14067, 14392
1.3,14218,14197, 14392
1.4,14222,14225, 14392
1.5,14238,14214, 14392
1.6,14255,14260, 14392
1.7,14264,14287, 14392
1.8,14264,14263, 14392
1.9,14276,14254, 14392
2.0,14278,14246, 14392
2.1,14271,14266, 14392
2.2,14272,14287, 14392
2.3,14298,14290, 14392
2.4,14302,14287, 14392
2.5,14293,14311, 14392
2.6,14301,14299, 14392
2.7,14302,14313, 14392
2.8,14307,14305, 14392
2.9,14311,14312, 14392
3.0,14330,14304, 14392
3.1,14307,14307, 14392
3.2,14329,14321, 14392
3.3,14331,14324, 14392
3.4,14328,14339, 14392
3.5,14328,14324, 14392
3.6,14326,14324, 14392
3.7,14322,14323, 14392
3.8,14340,14322, 14392
3.9,14332,14332, 14392
4.0,14334,14317, 14392
4.1,14329,14336, 14392
4.2,14330,14339, 14392
4.3,14346,14333, 14392
4.4,14349,14338, 14392
4.5,14342,14331, 14392
4.6,14339,14320, 14392
4.7,14340,14296, 14392
4.8,14332,14351, 14392
4.9,14361,14341, 14392
5.0,14341,14348, 14392
5.1,14342,14352, 14392
5.2,14357,14345, 14392
5.3,14327,14207, 14392
5.4,14349,14352, 14392
5.5,14352,14348, 14392
5.6,14356,14351, 14392
5.7,14356,14349, 14392
5.8,14348,14352, 14392
5.9,14340,14354, 14392
6.0,14359,14341, 14392
6.1,14349,14348, 14392
6.2,14350,14354, 14392
6.3,14345,14354, 14392
6.4,14352,14357, 14392
6.5,14352,14357, 14392
6.6,14368,14350, 14392
6.7,14350,14352, 14392
6.8,14353,14358, 14392
6.9,14347,14360, 14392
7.0,14367,14359, 14392
7.1,14349,14363, 14392
7.2,14354,14356, 14392
7.3,14355,14348, 14392
7.4,14355,14357, 14392
7.5,14360,14360, 14392
7.6,14368,14362, 14392
7.7,14355,14353, 14392
7.8,14362,14359, 14392
7.9,14366,14353, 14392
8.0,14363,14346, 14392
8.1,14360,14363, 14392
8.2,14360,14366, 14392
8.3,14360,14368, 14392
8.4,14363,14355, 14392
8.5,14355,14361, 14392
8.6,14349,14367, 14392
8.7,14367,14373, 14392
8.8,14365,14350, 14392
8.9,14363,14365, 14392
9.0,14373,14359, 14392
9.1,14363,14372, 14392
9.2,14363,14356, 14392
9.3,14365,14368, 14392
9.4,14367,14339, 14392
9.5,14370,14365, 14392
9.6,14364,14368, 14392
9.7,14365,14365, 14392
9.8,14376,14362, 14392
9.9,14368,14371, 14392
10.0,14364,14364, 14392
