S_Factor,Est_Count_PyHash,Est_Count_PRHF,Exact_Count
1.0,16386,16154, 16830
1.1,16486,16452, 16830
1.2,16477,16485, 16830
1.3,16510,16486, 16830
1.4,16534,16483, 16830
1.5,16548,15988, 16830
1.6,16594,16592, 16830
1.7,16585,16600, 16830
1.8,16620,16608, 16830
1.9,16625,16626, 16830
2.0,16609,16503, 16830
2.1,16616,16581, 16830
2.2,16633,16645, 16830
2.3,16653,16628, 16830
2.4,16674,16649, 16830
2.5,16663,16574, 16830
2.6,16660,16645, 16830
2.7,16659,16699, 16830
2.8,16683,16657, 16830
2.9,16700,16682, 16830
3.0,16659,16403, 16830
3.1,16711,16678, 16830
3.2,16707,16694, 16830
3.3,16711,16707, 16830
3.4,16720,16716, 16830
3.5,16705,16615, 16830
3.6,16707,16714, 16830
3.7,16736,16706, 16830
3.8,16720,16729, 16830
3.9,16722,16728, 16830
4.0,16720,16672, 16830
4.1,16726,16719, 16830
4.2,16729,16716, 16830
4.3,16738,16724, 16830
4.4,16727,16741, 16830
4.5,16746,16427, 16830
4.6,16765,16738, 16830
4.7,16737,16748, 16830
4.8,16752,16745, 16830
4.9,16748,16746, 16830
5.0,16737,16696, 16830
5.1,16750,16731, 16830
5.2,16740,16720, 16830
5.3,16754,16758, 16830
5.4,16749,16768, 16830
5.5,16758,16682, 16830
5.6,16764,16771, 16830
5.7,16764,16770, 16830
5.8,16772,16753, 16830
5.9,16757,16745, 16830
6.0,16750,16622, 16830
6.1,16774,16779, 16830
6.2,16766,16772, 16830
6.3,16763,16751, 16830
6.4,16765,16762, 16830
6.5,16763,16714, 16830
6.6,16759,16760, 16830
6.7,16771,16762, 16830
6.8,16764,16774, 16830
6.9,16763,16782, 16830
7.0,16756,16720, 16830
7.1,16777,16780, 16830
7.2,16770,16770, 16830
7.3,16775,16768, 16830
7.4,16779,16771, 16830
7.5,16769,16666, 16830
7.6,16779,16778, 16830
7.7,16776,16791, 16830
7.8,16780,16786, 16830
7.9,16773,16776, 16830
8.0,16771,16755, 16830
8.1,16768,16784, 16830
8.2,16783,16770, 16830
8.3,16777,16773, 16830
8.4,16766,16780, 16830
8.5,16790,16596, 16830
8.6,16784,16780, 16830
8.7,16788,16785, 16830
8.8,16782,16782, 16830
8.9,16788,16773, 16830
9.0,16775,16627, 16830
9.1,16787,16784, 16830
9.2,16799,16784, 16830
9.3,16789,16785, 16830
9.4,16781,16795, 16830
9.5,16791,16755, 16830
9.6,16786,16775, 16830
9.7,16793,16776, 16830
9.8,16789,16791, 16830
9.9,16792,16801, 16830
10.0,16784,16762, 16830
