S_Factor,Est_Count_PyHash,Est_Count_PRHF,Exact_Count
1.0,16994,16986, 17143
1.1,17000,17012, 17143
1.2,17014,16983, 17143
1.3,17040,17007, 17143
1.4,17028,16996, 17143
1.5,17033,17031, 17143
1.6,17055,17020, 17143
1.7,17037,16880, 17143
1.8,17046,17021, 17143
1.9,17052,17064, 17143
2.0,17077,17069, 17143
2.1,17067,17040, 17143
2.2,17069,17079, 17143
2.3,17074,17084, 17143
2.4,17080,17066, 17143
2.5,17087,17074, 17143
2.6,17095,17068, 17143
2.7,17095,17051, 17143
2.8,17088,17071, 17143
2.9,17095,17081, 17143
3.0,17085,17089, 17143
3.1,17095,17075, 17143
3.2,17100,17077, 17143
3.3,17093,17080, 17143
3.4,17094,16999, 17143
3.5,17078,17092, 17143
3.6,17097,17078, 17143
3.7,17104,17096, 17143
3.8,17107,17105, 17143
3.9,17109,17099, 17143
4.0,17115,17108, 17143
4.1,17100,17096, 17143
4.2,17102,17086, 17143
4.3,17108,17102, 17143
4.4,17116,17110, 17143
4.5,17101,17099, 17143
4.6,17115,17111, 17143
4.7,17109,17101, 17143
4.8,17110,17103, 17143
4.9,17100,17107, 17143
5.0,17116,17104, 17143
5.1,17112,17015, 17143
5.2,17120,17109, 17143
5.3,17113,17105, 17143
5.4,17124,17094, 17143
5.5,17116,17106, 17143
5.6,17120,17108, 17143
5.7,17112,17111, 17143
5.8,17112,17116, 17143
5.9,17120,17100, 17143
6.0,17111,17121, 17143
6.1,17120,17113, 17143
6.2,17116,17110, 17143
6.3,17113,17098, 17143
6.4,17121,17105, 17143
6.5,17125,17109, 17143
6.6,17121,17111, 17143
6.7,17119,17115, 17143
6.8,17126,17077, 17143
6.9,17118,17119, 17143
7.0,17115,17116, 17143
7.1,17115,17126, 17143
7.2,17121,17112, 17143
7.3,17123,17121, 17143
7.4,17124,17122, 17143
7.5,17121,17121, 17143
7.6,17128,17119, 17143
7.7,17125,17111, 17143
7.8,17128,17115, 17143
7.9,17120,17121, 17143
8.0,17130,17123, 17143
8.1,17131,17112, 17143
8.2,17124,17119, 17143
8.3,17123,17125, 17143
8.4,17125,17109, 17143
8.5,17115,17090, 17143
8.6,17126,17125, 17143
8.7,17127,17112, 17143
8.8,17126,17128, 17143
8.9,17123,17117, 17143
9.0,17123,17121, 17143
9.1,17130,17118, 17143
9.2,17132,17128, 17143
9.3,17127,17117, 17143
9.4,17130,17125, 17143
9.5,17124,17131, 17143
9.6,17125,17122, 17143
9.7,17130,17120, 17143
9.8,17127,17119, 17143
9.9,17127,17120, 17143
10.0,17131,17124, 17143
